Tekst,Encje
"Niemal dwa tygodnie temu doszło do walki, na którą czekał cały bokserski świat. Na AT&T Stadium w Arlington w Teksasie Jake Paul pokonał Mike'a Tysona po jednogłośnej decyzji sędziów. Część kibiców i ekspertów twierdzi jednak, że pojedynek... mógł być ustawiony. Do tego grona najwyraźniej należy Sylvester Stallone, który po ogłoszeniu werdyktu wygłosił dosyć kontrowersyjną opinię. Teraz popularny aktor postanowił przeprosić za swoje słowa.","[('Jake Paul', 'PER', (119, 128)), (""Mike'a Tysona"", 'PER', (137, 150)), ('Sylvester Stallone', 'PER', (297, 315)), ('AT&T Stadium', 'ORG', (83, 95)), ('Arlington', 'GPE', (98, 107)), ('Teksasie', 'GPE', (110, 118))]"
"Te problemy widać już na początku. Ridley Scott chce rozpocząć widowisko epicką sceną batalistyczną, która ma inny klimat niż ta z pierwszej części. Zobaczcie, jaki tu był potencjał: lądowanie rzymskiej armii i obleganie miasta. Mamy pierwszy przykład znakomitego pomysłu, który szybko zostaje zmarnowany. Scena, gdy Acacius (Pedro Pascal) prowadzi atak ze swojego okrętu i wchodzi na mury, to początek bitwy, która kończy się jakieś dwie minuty później!","[('Ridley Scott', 'PER', (35, 47)), ('Acacius', 'PER', (317, 324)), ('Pedro Pascal', 'PER', (326, 338))]"
"Phoenix Suns po dobrym starcie sezonu ostatnio głównie przegrywają. Oczywiście duży wpływ na to miały absencje Beala i Kevina Duranta, który również ostatnio był poza grą przez kilkanaście dni. Zespół z Arizony rozpoczął rozgrywki od bilansu 8-1, ale od tamtego czasu drużyna wygrała tylko dwa z dziewięciu meczów i zajmuje obecnie 9. pozycję na Zachodzie.","[('Phoenix Suns', 'ORG', (0, 12)), ('Arizony', 'GPE', (203, 210)), ('Beala', 'PER', (111, 116)), ('Kevina Duranta', 'PER', (119, 133))]"
"Oświadczenie Karola Nawrockiego: Szef Instytutu Pamięci Narodowej poinformował, że w związku z kampanią przed wyborami prezydenckimi weźmie urlop w ""z dniem zarządzenia przez marszałka Sejmu wyborów"". - Transparentność w życiu publicznym jest dla mnie najważniejsza - dodał. Zwrócił się także do swoich konkurentów, aby podjęli podobne decyzje.","[('Karola Nawrockiego', 'PER', (13, 31)), ('Instytutu Pamięci Narodowej', 'ORG', (38, 65)), ('Sejmu', 'ORG', (185, 190))]"
"Brandin Podziemski występuje w Golden State Warriors od 2023 roku, kiedy przeszedł do klubu na mocy draftu. Jego obecny pracodawca zajmuje drugie miejsce w Konferencji Zachodniej i właśnie ogłosił przedłużenie współpracy z zawodnikiem.","[('Brandin Podziemski', 'PER', (0, 18)), ('Golden State Warriors', 'ORG', (31, 52)), ('2023', 'DATE', (56, 60))]"
"W tym wpisie skupimy się na podstawowym wprowadzeniu do biblioteki. Zrobimy to z użyciem języka Python, chociaż sam Langchain oferuje również implementacje w JS.","[('Langchain', 'ORG', (116, 125)), ('JS', 'ORG', (158, 160)), ('Python', 'ORG', (96, 102))]"
"Bosak studiował na Collegium Humanum: - Nigdy żadnego dyplomu od nich nie miałem, nie chciałem. I jestem zażenowany tym wszystkim, co w tej chwili wyszło w mediach - powiedział Krzysztof Bosak w programie ""Onet Rano"". Polityk Konfederacji wytłumaczył, że uczył się na Collegium Humanum tylko przez dwa semestry w 2021 roku. Jak tłumaczył, chciał po prostu studiować i uczestniczył w zajęciach, zaliczał egzaminy, ale ostatecznie nie miał czasu na dalsze studiowanie.","[('Collegium Humanum', 'ORG', (19, 36)), ('Konfederacji', 'ORG', (226, 238)), ('Collegium Humanum', 'ORG', (268, 285)), ('2021', 'DATE', (313, 317)), ('Bosak', 'PER', (0, 5)), ('Krzysztof Bosak', 'PER', (177, 192)), ('Onet', 'ORG', (206, 210))]"
"Świąteczna Strefa Zabawy LEGO bez wątpienia przyciągnie tłumy fanów popularnych klocków. Wyjątkowe wydarzenie, zaplanowane w Pałacu Kultury i Nauki w Warszawie, będzie obfitowało w liczne atrakcje. Kiedy dokładnie się odbędzie? Jak zdobyć bilety? Sprawdźcie najważniejsze informacje!","[('LEGO', 'ORG', (25, 29)), ('Warszawie', 'GPE', (150, 159)), ('Pałacu Kultury i Nauki', 'GPE', (125, 147))]"
NX wykorzystuje wieloletnie doświadczenie Lexusa w konstruowaniu wydajnych niezawodnych napędów hybrydowych.,"[('Lexusa', 'ORG', (42, 48))]"
"Rozważając kwestię ich legalności należy wskazać, że poszczególne kraje narzucają odmienne wymagania regulacyjne i oprócz podejścia polegającego na całkowitym zakazie Bitcoina mogą stosować inne ograniczenia jak np. w stosunku do wykorzystania go jako środka płatniczego. Algieria, Boliwia czy Macedonia Północna stosują całkowity zakaz wykorzystania kryptowalut. Podobnie Indie, gdzie w ostatnim czasie przedstawiono propozycję regulacji, zabraniającej ich użycia, jednak z zachowaniem waluty cyfrowej banku centralnego. Niektóre państwa zakazują wykorzystywania kryptowalut w transakcjach, tak jak Chiny, Wietnam, Kolumbia, Irak czy Egipt (gdzie użycie określone zostało jako zakazane w prawie islamskim). Inne ograniczają ich zastosowanie jako środka płatniczego jak Indonezja czy Turcja.","[('Bitcoina', 'ORG', (167, 175)), ('Algieria', 'GPE', (272, 280)), ('Boliwia', 'GPE', (282, 289)), ('Macedonia Północna', 'GPE', (294, 312)), ('Indie', 'GPE', (373, 378)), ('Chiny', 'GPE', (600, 605)), ('Wietnam', 'GPE', (607, 614)), ('Kolumbia', 'GPE', (616, 624)), ('Irak', 'GPE', (626, 630)), ('Egipt', 'GPE', (635, 640)), ('Indonezja', 'GPE', (770, 779)), ('Turcja', 'GPE', (784, 790))]"
"Od blisko dwóch miesięcy Wojciech Szczęsny jest piłkarzem FC Barcelony, do której dołączył jako potencjalny zastępca Marca-Andre ter Stegena. Niemiecki bramkarz najpewniej nie zagra do końca sezonu, ale dotychczas Polak tylko przyglądał się poczynaniom Inakiego Peni w bramce katalońskiego klubu. Ile spotkań Szczęsny spędził już na ławce rezerwowych? Osiem. W tych spotkaniach Barcelona odniosła sześć zwycięstw, remis i porażkę przy bilansie bramkowym 26:8 i dwóch czystych kontach.","[('Wojciech Szczęsny', 'PER', (25, 42)), ('Marca-Andre ter Stegena', 'PER', (117, 140)), ('Szczęsny', 'PER', (309, 317)), ('FC Barcelony', 'ORG', (58, 70)), ('Barcelona', 'ORG', (378, 387)), ('Inakiego Peni', 'PER', (253, 266))]"
